file,text,taxa,prob
1-s2.0-S0048969716326419-main.pdf,Capra aegagrus,Capra aegagrus,1
1-s2.0-S0048969716326419-main.pdf,bubalis,Bubalus bubalis bubalis,0.9755757451057434
1-s2.0-S0048969716326419-main.pdf,Bos grunniens,Bos grunniens,0.9999999403953552
1-s2.0-S0048969716326419-main.pdf,minants,mints,0.7828713655471802
1-s2.0-S0048969716326419-main.pdf,C. aegagrus,Capra aegagrus,1
1-s2.0-S0048969716326419-main.pdf,O. aries,Ovis aries,1
1-s2.0-S0048969716326419-main.pdf,B. taurus,Bos taurus,1
1-s2.0-S0048969716326419-main.pdf,C.aegagrus,C. aegagrus,0.720208466053009
1-s2.0-S0048969716326419-main.pdf,deer,deer,1
1-s2.0-S0048969716326419-main.pdf,ruminant                ,Ruminantia,0.7945288419723511
1-s2.0-S0048969716326419-main.pdf,ungulate,ungulate lice,0.8037596940994263
1-s2.0-S0048969716326419-main.pdf,elk,elk,1
1-s2.0-S0048969716326419-main.pdf,mule deer,mule deer,1
1-s2.0-S0048969716326419-main.pdf,whitetail                   ,whitetail shiner,0.8354296684265137
1-s2.0-S0048969716326419-main.pdf,buffaloes,P. buffaloensis,0.7978139519691467
1-s2.0-S0048969716326419-main.pdf,bisons,Bison bison,0.7426518797874451
1-s2.0-S0048969716326419-main.pdf,reindeer,reindeer,0.9999999403953552
1-s2.0-S0048969716326419-main.pdf,antelope,roan antelope,0.763637363910675
1-s2.0-S0048969716326419-main.pdf,Bos indicus,Bos indicus,1
1-s2.0-S0048969716326419-main.pdf,Red Deer,red deer,1
1-s2.0-S0048969716326419-main.pdf,canola,canola,1
1-s2.0-S0048969716326419-main.pdf,tall fescue,tall fescue,0.9999998807907104
1-s2.0-S0048969716326419-main.pdf,Ungulata,P. ungulata,0.9449254274368286
1-s2.0-S0048969716326419-main.pdf,Mendizabal,A. mendizabali,0.8592244386672974
1-s2.0-S0048969716326419-main.pdf,herbivores,Herbivorax,0.7778589129447937
1-s2.0-S0048969716326419-main.pdf,Methanobrevibacter phylotypes,Methanobrevibacter,0.7809039950370789
1-s2.0-S0048969718320837-main.pdf,Sheep,sheep,1
1-s2.0-S0048969718320837-main.pdf,sheep,sheep,1
1-s2.0-S0048969718320837-main.pdf,Bhatia,Bhatia,1
1-s2.0-S0048969718320837-main.pdf,Giacomini,K. giacominii,0.7701253890991211
1-s2.0-S0048969718320837-main.pdf,Giardina,C. giardinae,0.8386996984481812
1-s2.0-S0048969718320837-main.pdf,Ammann,Ammannia,0.7040085196495056
1-s2.0-S0048969718320837-main.pdf,Laurila,Laurilia,0.7767244577407837
1-s2.0-S0048969718320837-main.pdf,Carberry,bearberry,0.7742694616317749
1-s2.0-S0048969718320837-main.pdf,Sanchez,Sanchezia,0.7245514988899231
1-s2.0-S0048969718320837-main.pdf,Acutis,P. acutiscutis,0.8782566785812378
1-s2.0-S0048969718320837-main.pdf,Ciais,Iais,0.7176394462585449
1-s2.0-S0048969718320837-main.pdf,Molnár,Molnaria,0.7172735929489136
1-s2.0-S0048969718320837-main.pdf,Ambus,P. ambusta,0.7726336121559143
1-s2.0-S0048969718320837-main.pdf,Amman,Amma,0.7253057360649109
1-s2.0-S0048969718325233-main.pdf,Eurasian beaver,Eurasian beaver,1
1-s2.0-S0048969718325233-main.pdf,Castor ﬁber,Castor,0.8916753530502319
1-s2.0-S0048969718325233-main.pdf,Beavers,beavers,0.9999999403953552
1-s2.0-S0048969718325233-main.pdf,beaver,Beaverium,0.8873720765113831
1-s2.0-S0048969718325233-main.pdf,beavers,beavers,0.9999999403953552
1-s2.0-S0048969718325233-main.pdf,Castor canadensis,Castor canadensis,1
1-s2.0-S0048969718325233-main.pdf,Barcelo                                 beavers,beavers,0.7503615021705627
1-s2.0-S0048969718325233-main.pdf,Siberian beavers,beavers,0.7611615061759949
1-s2.0-S0048969718325233-main.pdf,American beaver,American beaver,1
1-s2.0-S0048969718325233-main.pdf,Eurasian beavers,Eurasian beaver,0.8996610641479492
1-s2.0-S0048969718325233-main.pdf,Populus,Populus,1
1-s2.0-S0048969718325233-main.pdf,Salix,Salix,1
1-s2.0-S0048969718325233-main.pdf,ber,ber,1
1-s2.0-S0048969718325233-main.pdf,cyanobacteria,Cyanobacteria,1
1-s2.0-S0048969718325233-main.pdf,North American beaver,American beaver,0.8515689373016357
1-s2.0-S0048969718325233-main.pdf,Cunliffe,Cunliffea,0.8149224519729614
1-s2.0-S0048969718325233-main.pdf,Kolesnichenko,P. kolesnichenkoi,0.8344622254371643
